id,name,link,Average prices,Cuisine,Meals,Restaurant features,Good for,Open Hours,Address,Location,Phone Number
1,Khema,/Restaurant_Review-g293940-d4458811-Reviews-Khema-Phnom_Penh.html,"US$6 -
US$60","French, European, Delicatessen, Wine Bar","Breakfast, Lunch, Dinner, Drinks, Brunch","Takeout, Reservations, Seating, Waitstaff, Street Parking, Serves Alcohol, Accepts Mastercard, Accepts Visa, Free Wifi, Parking Available","Special Occasion Dining, Child-friendly","Sunday
06:00 - 22:00


Monday
06:00 - 22:00


Tuesday
06:00 - 22:00


Wednesday
06:00 - 22:00


Thursday
06:00 - 22:00


Friday
06:00 - 22:00


Saturday
06:00 - 22:00","51 163 Street | Corner of Street 228 & Street 51, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85523221646
2,Rustic Restaurant,/Restaurant_Review-g293940-d9770457-Reviews-Rustic_Restaurant-Phnom_Penh.html,"US$3 -
US$12","American, Bar, Pizza, European, Vegetarian Friendly, Italian, Pub","Brunch, Lunch, Dinner","Delivery, Reservations, Outdoor Seating, Seating, Waitstaff, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Free Wifi, Takeout, Wheelchair Accessible","Cheap Eats, Groups, Child-friendly, Special Occasion Dining, Bar Scene","Sunday
11:00 - 00:00


Tuesday
11:00 - 00:00


Wednesday
11:00 - 00:00


Thursday
11:00 - 00:00


Friday
11:00 - 00:00


Saturday
11:00 - 00:00","172 No 21Eo Ground Floor Street, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85517415197
3,Mok Mony,/Restaurant_Review-g293940-d6002341-Reviews-Mok_Mony-Phnom_Penh.html,"US$3 -
US$10","Asian, Cambodian","Lunch, Dinner","Seating, Waitstaff, Street Parking, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, Delivery, Takeout, Reservations, Wheelchair Accessible","Child-friendly, Cheap Eats, Local cuisine","Sunday
10:00 - 22:00


Monday
10:00 - 22:00


Tuesday
10:00 - 22:00


Wednesday
10:00 - 22:00


Thursday
10:00 - 22:00


Friday
10:00 - 22:00


Saturday
10:00 - 22:00","1 63c, Street 294, Bkk | Khan Chameamon, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 95 970 861
4,Friends the Restaurant,/Restaurant_Review-g293940-d1202023-Reviews-Friends_the_Restaurant-Phnom_Penh.html,"US$5 -
US$10","European, Asian, Vegetarian Friendly, Soups, Cambodian","Brunch, Lunch, Dinner, After-hours","Reservations, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Groups, Special Occasion Dining, Local cuisine, Child-friendly, Cheap Eats","Sunday
11:00 - 22:30


Monday
11:00 - 22:30


Tuesday
11:00 - 22:30


Wednesday
11:00 - 22:30


Thursday
11:00 - 22:30


Friday
11:00 - 22:30


Saturday
11:00 - 22:30","House 215 | Street 13, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 12 802 072
5,Daughters of Cambodia Visitor Centre Cafe,/Restaurant_Review-g293940-d2405672-Reviews-Daughters_of_Cambodia_Visitor_Centre_Cafe-Phnom_Penh.html,"US$4 -
US$7","American, Cafe, Asian, British","Lunch, Brunch, Breakfast","Takeout, Seating, Waitstaff, Highchairs Available, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Reservations","Child-friendly, Cheap Eats, Local cuisine, View","Monday
09:00 - 17:30


Tuesday
09:00 - 17:30


Wednesday
09:00 - 17:30


Thursday
09:00 - 17:30


Friday
09:00 - 17:30


Saturday
09:00 - 17:30","65, Street 178 | The Riverside, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 89 910 203
6,Le Saint Georges,/Restaurant_Review-g293940-d5966303-Reviews-Le_Saint_Georges-Phnom_Penh.html,"US$5 -
US$25","French, European",Dinner,"Takeout, Outdoor Seating, Seating, Waitstaff, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Free Wifi, Reservations, Wheelchair Accessible","Romantic, Special Occasion Dining, Business meetings, Child-friendly, Cheap Eats","Sunday
18:00 - 22:30


Monday
18:00 - 22:30


Tuesday
18:00 - 22:30


Wednesday
18:00 - 22:30


Thursday
18:00 - 22:30


Friday
18:00 - 22:30


Saturday
18:00 - 22:30","136 111 Street, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 95 436 541
7,DID - Dine in the Dark,/Restaurant_Review-g293940-d5123195-Reviews-DID_Dine_in_the_Dark-Phnom_Penh.html,"US$18 -
US$19","Asian, Vegetarian Friendly, Cambodian, International, European",Dinner,"Seating, Waitstaff, Serves Alcohol, Full Bar, Free Wifi, Reservations","Special Occasion Dining, Groups, Child-friendly, Romantic, Local cuisine","Sunday
18:00 - 22:30


Monday
18:00 - 22:30


Tuesday
18:00 - 22:30


Wednesday
18:00 - 22:30


Thursday
18:00 - 22:30


Friday
18:00 - 22:30


Saturday
18:00 - 22:30","126, Street 19 | Cross streets 154 & 172, Phnom Penh, Cambodia (Formerly Dine in the Dark)","Asia
  >  Cambodia
  >  Phnom Penh",+855 77 589 458
8,The Corn,/Restaurant_Review-g293940-d5015754-Reviews-The_Corn-Phnom_Penh.html,"US$2 -
US$10","Asian, Vegetarian Friendly, Vegan Options, Cambodian, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Free Wifi","Special Occasion Dining, Child-friendly, Cheap Eats, Local cuisine",,"26 Preah Suramarit Blvd, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 17 773 757
9,ARTillery,/Restaurant_Review-g293940-d2653424-Reviews-ARTillery-Phnom_Penh.html,US$10,"Cafe, European, Vegetarian Friendly, Healthy, Vegan Options, Gluten Free Options","Brunch, Breakfast, Lunch, Dinner, After-hours","Delivery, Takeout, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Cash Only, Free Wifi, Reservations","Child-friendly, Cheap Eats","Sunday
07:30 - 21:00


Monday
07:30 - 21:00


Tuesday
07:30 - 21:00


Wednesday
07:30 - 21:00


Thursday
07:30 - 21:00


Friday
07:30 - 21:00


Saturday
07:30 - 21:00","Street 240 1/2, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85578985530
10,Malis Cambodian Restaurant,/Restaurant_Review-g293940-d1372181-Reviews-Malis_Cambodian_Restaurant-Phnom_Penh.html,"US$8 -
US$35","Seafood, Asian, Cambodian","Brunch, Breakfast, Lunch, Dinner","Takeout, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining","Groups, Local cuisine, Special Occasion Dining, Business meetings, Child-friendly, Romantic","Sunday
06:00 - 22:00


Monday
06:00 - 22:00


Tuesday
06:00 - 22:00


Wednesday
06:00 - 22:00


Thursday
06:00 - 22:00


Friday
06:00 - 22:00


Saturday
06:00 - 22:00","136 Norodom Boulevard, Phnom Penh 12101, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85515814888
11,Brooklyn Pizza & Bistro,/Restaurant_Review-g293940-d5523674-Reviews-Brooklyn_Pizza_Bistro-Phnom_Penh.html,"US$6 -
US$10","Italian, American, Pizza, European","Brunch, Lunch, Dinner, After-hours","Takeout, Seating, Waitstaff, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Free Wifi, Delivery, Reservations","Groups, Child-friendly, Special Occasion Dining","Sunday
11:00 - 22:00


Monday
11:00 - 22:00


Tuesday
11:00 - 22:00


Wednesday
11:00 - 22:00


Thursday
11:00 - 22:00


Friday
11:00 - 22:00


Saturday
11:00 - 22:00","#20, STREET 123, TOUL TUM PONG, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 89 925 926
12,Connecting Hands Training Cafe,/Restaurant_Review-g293940-d6878976-Reviews-Connecting_Hands_Training_Cafe-Phnom_Penh.html,"US$3 -
US$8","American, Cafe, European, Vegetarian Friendly, Healthy, Cambodian, Gluten Free Options","Brunch, Breakfast, Lunch","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi","Cheap Eats, Child-friendly, Local cuisine","Monday
09:00 - 18:00


Tuesday
09:00 - 18:00


Wednesday
09:00 - 18:00


Thursday
09:00 - 18:00


Friday
09:00 - 18:00


Saturday
09:00 - 18:00","#42H Street 178, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85578588810
13,Romdeng,/Restaurant_Review-g293940-d1217419-Reviews-Romdeng-Phnom_Penh.html,,"Asian, Cambodian","Brunch, Lunch, Dinner, After-hours","Reservations, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Business meetings, Child-friendly, Groups, Local cuisine, Special Occasion Dining, Romantic","Sunday
11:00 - 21:00


Monday
11:00 - 21:00


Tuesday
11:00 - 21:00


Wednesday
11:00 - 21:00


Thursday
11:00 - 21:00


Friday
11:00 - 21:00


Saturday
11:00 - 21:00","74 Street 174, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 92 219 565
14,Piccola Italia Da Luigi,/Restaurant_Review-g293940-d4108435-Reviews-Piccola_Italia_Da_Luigi-Phnom_Penh.html,,"Italian, Pizza","Lunch, Dinner, After-hours","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Free Wifi","Groups, Child-friendly, Cheap Eats","Sunday
11:30 - 14:0017:30 - 22:00


Wednesday
11:30 - 14:0017:30 - 22:00


Thursday
11:30 - 14:0017:30 - 22:00


Friday
11:30 - 14:0017:30 - 22:00


Saturday
11:30 - 14:0017:30 - 22:00","Street 308, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",17323273
15,Limoncello Pizzeria & Restaurant,/Restaurant_Review-g293940-d2627039-Reviews-Limoncello_Pizzeria_Restaurant-Phnom_Penh.html,"US$5 -
US$12","Italian, European","Lunch, Dinner","Takeout, Seating, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, Delivery, Reservations, Waitstaff, Wheelchair Accessible","Groups, Child-friendly","Sunday
11:30 - 14:0017:30 - 22:00


Monday
11:30 - 14:0017:30 - 22:00


Tuesday
11:30 - 14:0017:30 - 22:00


Wednesday
11:30 - 14:0017:30 - 22:00


Thursday
11:30 - 14:0017:30 - 22:00


Friday
11:30 - 14:0017:30 - 22:00


Saturday
11:30 - 14:0017:30 - 22:00","81 Sisowath, Phnom Penh 12202, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85581800210
16,Feel Good Cafe,/Restaurant_Review-g293940-d4269201-Reviews-Feel_Good_Cafe-Phnom_Penh.html,"US$3 -
US$10","Cafe, International, Contemporary, Cambodian","Brunch, Breakfast, Lunch","Takeout, Seating, Waitstaff, Street Parking, Cash Only, Free Wifi, Reservations, Outdoor Seating, Parking Available, Highchairs Available",Child-friendly,"Sunday
07:30 - 18:00


Monday
07:30 - 18:00


Tuesday
07:30 - 18:00


Wednesday
07:30 - 18:00


Thursday
07:30 - 18:00


Friday
07:30 - 18:00


Saturday
07:30 - 18:00","Street 136 | #79, Phnom Penh Phsar Kandal 1, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 77 694 702
17,Cocina Cartel,/Restaurant_Review-g293940-d4874864-Reviews-Cocina_Cartel-Phnom_Penh.html,"US$5 -
US$7","Mexican, Southwestern, Latin, Central American","Lunch, Dinner","Delivery, Takeout, Seating, Waitstaff, Serves Alcohol, Full Bar, Free Wifi","Cheap Eats, Child-friendly","Sunday
11:30 - 15:0017:00 - 22:00


Monday
11:30 - 15:0017:00 - 22:00


Tuesday
11:30 - 15:0017:00 - 22:00


Wednesday
11:30 - 15:0017:00 - 22:00


Thursday
11:30 - 15:0017:00 - 22:00


Friday
11:30 - 15:0017:00 - 22:00


Saturday
11:30 - 15:0017:00 - 22:00","19 198b Street, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 89 227 182
18,Besto Restaurant and Mart,/Restaurant_Review-g293940-d7678151-Reviews-Besto_Restaurant_and_Mart-Phnom_Penh.html,,"Fast food, Vegan Options, Indian, Vegetarian Friendly, Asian","Breakfast, Lunch, Dinner, Brunch","Delivery, Takeout, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Reservations, Waitstaff, Wheelchair Accessible","Groups, Child-friendly, Cheap Eats","Sunday
07:00 - 22:00


Monday
07:00 - 22:00


Tuesday
07:00 - 22:00


Wednesday
07:00 - 22:00


Thursday
07:00 - 22:00


Friday
07:00 - 22:00


Saturday
07:00 - 22:00","126 Street | Near the Central Market, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85510700602
19,Topaz,/Restaurant_Review-g293940-d1724672-Reviews-Topaz-Phnom_Penh.html,"US$20 -
US$120",French,"Lunch, Dinner","Parking Available, Street Parking, Highchairs Available, Serves Alcohol, Accepts Mastercard, Accepts Visa, Free Wifi, Private Dining, Seating, Waitstaff, Valet Parking, Wheelchair Accessible, Full Bar","Special Occasion Dining, Business meetings, Romantic, Groups","Sunday
11:30 - 14:0018:00 - 22:30


Monday
11:30 - 14:0018:00 - 22:30


Tuesday
11:30 - 14:0018:00 - 22:30


Wednesday
11:30 - 14:0018:00 - 22:30


Thursday
11:30 - 14:0018:00 - 22:30


Friday
11:30 - 14:0018:00 - 22:30


Saturday
11:30 - 14:0018:00 - 22:30","162 Norodom Boulevard | Sangkat Tonle Basak, Khan Chamcar Mon, Phnom Penh 12101, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85515821888
20,Taqueria Corona Restaurant,/Restaurant_Review-g293940-d3202114-Reviews-Taqueria_Corona_Restaurant-Phnom_Penh.html,,"Mexican, Latin","Lunch, Dinner, After-hours","Delivery, Takeout, Seating, Waitstaff, Serves Alcohol, Free Wifi, Reservations, Full Bar","Child-friendly, Cheap Eats",,"#14E, Street 51 (Pasteur Street), Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",89 281 626
21,Black Bambu,/Restaurant_Review-g293940-d7224378-Reviews-Black_Bambu-Phnom_Penh.html,,"European, Asian, Fusion","Dinner, Lunch","Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Romantic, Groups, Special Occasion Dining, Business meetings, Child-friendly",,"#29 St. 228 (Corner of St. 55), Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",23966895
22,Il Forno,/Restaurant_Review-g293940-d8702414-Reviews-Il_Forno-Phnom_Penh.html,"US$5 -
US$15","Pizza, Healthy, Wine Bar, Italian, European","Lunch, Dinner","Delivery, Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Free Wifi, Highchairs Available","Business meetings, Child-friendly, Groups, Special Occasion Dining","Sunday
12:00 - 23:00


Monday
12:00 - 23:00


Wednesday
12:00 - 23:00


Thursday
12:00 - 23:00


Friday
12:00 - 23:00


Saturday
12:00 - 23:00","No 11, Street 302 | Sangkat Beong Keng Kang 1, Khan Chomkamon, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+(855)10 660 515
23,lone pine cafe,/Restaurant_Review-g293940-d7261942-Reviews-Lone_pine_cafe-Phnom_Penh.html,,"American, Cajun & Creole, Bar, Pub","Lunch, Dinner","Delivery, Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Reservations",Child-friendly,,"House 14 Street 282 | Street 282 Between Norodom and Street 51, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+(855)95949398
24,Che Culo!,/Restaurant_Review-g293940-d8319270-Reviews-Che_Culo-Phnom_Penh.html,,"Italian, Mediterranean, Spanish, Bar, European, Greek","Lunch, Dinner","Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Full Bar, Free Wifi, Reservations","Special Occasion Dining, Groups, Child-friendly, Cheap Eats, Bar Scene","Monday
11:00 - 00:00


Tuesday
11:00 - 00:00


Wednesday
11:00 - 00:00


Thursday
11:00 - 00:00


Friday
11:00 - 00:00


Saturday
11:00 - 00:00","House 6B, Street 302 | BKK1, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85581470221
25,The Lost Room,/Restaurant_Review-g293940-d2354547-Reviews-The_Lost_Room-Phnom_Penh.html,"US$4 -
US$12","European, Vegetarian Friendly, Fusion",Dinner,"Outdoor Seating, Seating, Waitstaff, Street Parking, Serves Alcohol, Full Bar, Cash Only, Free Wifi, Reservations",Special Occasion Dining,"Monday
17:00 - 22:00


Tuesday
17:00 - 22:00


Wednesday
17:00 - 22:00


Thursday
17:00 - 22:00


Friday
17:00 - 22:00


Saturday
17:00 - 22:00","21 #43, Street | Wat Svay Propey/Abdul Carime and Russian Embassy, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 78 700 001
26,Sesame Noodle Bar,/Restaurant_Review-g293940-d3907691-Reviews-Sesame_Noodle_Bar-Phnom_Penh.html,"US$4 -
US$7","Asian, Japanese","Lunch, Dinner","Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Free Wifi, Takeout, Reservations","Cheap Eats, Child-friendly","Sunday
11:30 - 14:3017:00 - 21:30


Tuesday
11:30 - 14:3017:00 - 21:30


Wednesday
11:30 - 14:3017:00 - 21:30


Thursday
11:30 - 14:3017:00 - 21:30


Friday
11:30 - 14:3017:00 - 21:30


Saturday
11:30 - 14:3017:00 - 21:30","#9 Street 460, Phnom Penh, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",89750212
27,Sher-e-Punjab,/Restaurant_Review-g293940-d2348135-Reviews-Sher_e_Punjab-Phnom_Penh.html,,"Indian, Asian, Fusion, Halal","Lunch, Dinner, After-hours","Delivery, Takeout, Reservations, Seating, Waitstaff, Serves Alcohol, Free Wifi","Special Occasion Dining, Child-friendly, Cheap Eats","Sunday
10:00 - 23:00


Monday
10:00 - 23:00


Tuesday
10:00 - 23:00


Wednesday
10:00 - 23:00


Thursday
10:00 - 23:00


Friday
10:00 - 23:00


Saturday
10:00 - 23:00","130 16 St | Pasar Kandal khan dumpenh Phnom Penhn, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",23216360
